ZONE,DIST,SDIST,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFHH,MFHH,HH1,HH2,HH3,HH4,INC1,INC2,INC3,INC4,MHHINC,TACRES,RESACRE,CIACRE,Z2SHARE,TEMP,RETEMP,SEREMP,OTHEMP,AGEMP,MANEMP,WHOEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65,AGE0513,AGE1417,AGE1824,ESENR,HSENR,COLLENR,COLLENRF,COLLENRP,TAZ1454
38,14,14,3,26,77,78,40,24,2,4,3,6,13,17228,34755,54132,121868,82419,200,14,5,0.115,173,0,2,32,58,75,6,7,15,28,19,8,17,6,6,0,0,0,0,0,699
39,14,14,3,49,160,162,81,43,6,18,12,9,9,16195,33078,57126,111572,46193,349,38,3,0.128,1,0,0,0,0,0,1,15,42,57,35,14,22,9,12,0,0,0,0,0,706
40,14,14,3,5,16,16,8,4,1,1,1,1,1,11643,33826,52741,129729,59029,226,1,0,0.143,0,0,0,0,0,0,0,2,4,5,4,2,2,1,1,0,0,0,0,0,697
41,14,14,3,20,62,63,30,16,4,6,4,4,6,11643,33826,52741,129729,59029,494,15,1,0.143,3,0,0,0,3,0,0,1,17,15,23,7,6,3,5,0,0,0,0,0,697
42,9,9,3,0,0,0,0,0,0,0,0,0,0,0,34739,50462,108253,47271,76,4,8,0.006,453,24,58,52,4,278,37,0,0,0,0,0,0,0,0,0,0,0,0,0,402
43,9,9,3,180,709,713,92,98,82,0,106,55,19,0,34739,50462,108253,47271,124,28,66,0.006,399,23,16,34,3,299,24,108,241,294,66,6,90,27,47,0,0,0,0,0,402
44,9,9,3,0,0,0,0,0,0,0,0,0,0,0,34739,50462,108253,47271,137,0,125,0.006,2110,24,928,570,3,256,330,0,0,0,0,0,0,0,0,0,0,0,0,0,402
45,9,9,3,50,120,122,78,1,50,21,15,10,3,14180,31209,53133,111024,34511,152,74,3,0.193,13,1,0,0,9,3,0,9,28,29,31,26,18,9,18,0,0,0,0,0,401
46,14,14,3,8,26,27,12,7,1,2,2,3,3,13942,33676,55338,118594,59194,69,2,25,0.157,677,19,376,0,0,282,0,4,6,10,4,3,4,3,3,0,0,0,0,0,712
47,14,14,3,93,315,317,140,86,7,19,18,19,36,14338,35216,56756,132246,72357,413,60,13,0.154,234,5,93,27,61,44,5,20,68,111,90,27,46,16,28,0,0,0,0,0,713
48,14,14,3,98,298,298,150,91,7,14,9,22,51,17228,34755,54132,121868,82419,454,143,1,0.115,57,0,2,32,8,1,15,18,80,95,67,36,41,15,16,0,0,0,0,0,699
49,14,14,3,49,165,167,73,45,4,11,10,11,19,14338,35216,56756,132246,72357,235,36,1,0.154,5,0,0,0,3,2,0,7,50,56,38,17,21,9,14,0,0,0,0,0,713
50,14,14,3,82,268,273,127,75,7,16,19,24,23,13942,33676,55338,118594,59194,253,90,1,0.157,1,0,1,0,0,0,0,9,61,68,88,46,32,19,26,0,0,0,0,0,712
51,14,14,3,71,241,246,106,65,6,15,14,15,28,14338,35216,56756,132246,72357,286,72,1,0.154,8,0,0,0,6,2,0,17,52,78,73,25,23,10,18,0,0,0,0,0,713
52,14,14,3,100,338,341,150,92,8,21,19,21,38,14338,35216,56756,132246,72357,395,90,20,0.154,165,7,74,7,7,59,12,25,69,102,86,58,37,19,30,0,0,0,0,0,713
53,14,14,3,74,251,253,111,68,6,15,14,15,28,14338,35216,56756,132246,72357,248,89,1,0.154,2,0,0,0,0,2,0,9,49,62,107,28,30,13,18,0,0,0,0,0,713
54,14,14,3,171,578,588,256,157,14,37,33,36,66,14338,35216,56756,132246,72357,498,168,1,0.154,22,0,0,0,20,2,0,34,106,165,204,78,72,40,53,0,0,0,0,0,713
55,14,14,3,57,185,268,88,52,5,12,13,16,16,13942,33676,55338,118594,59194,30,11,1,0.157,16,1,11,3,0,0,0,31,87,84,45,21,33,14,17,0,0,0,0,0,712
56,14,14,3,29,94,96,45,26,3,5,6,8,8,13942,33676,55338,118594,59194,30,4,2,0.157,108,9,44,28,0,27,0,7,14,37,28,11,18,10,14,504,0,0,0,0,712
57,14,14,3,367,1198,1206,611,328,39,138,89,69,70,16195,33078,57126,111572,46193,10882,635,78,0.128,88,0,3,2,28,52,2,53,241,297,431,184,235,77,65,0,0,0,0,0,706
58,14,14,3,48,157,160,74,43,5,10,11,14,14,13942,33676,55338,118594,59194,22,8,1,0.157,11,1,9,0,0,1,0,13,29,58,45,15,18,12,16,0,0,0,0,0,712
59,14,14,3,36,117,120,56,32,4,7,8,11,10,13942,33676,55338,118594,59194,45,16,1,0.157,37,1,34,0,0,2,0,14,27,38,32,10,15,6,10,0,0,0,0,0,712
60,14,14,3,85,288,291,128,78,7,17,16,17,33,14338,35216,56756,132246,72357,370,86,11,0.154,266,3,104,47,25,77,8,18,67,90,84,32,33,15,23,0,0,0,0,0,713
61,14,14,3,228,770,779,341,211,17,49,44,47,87,14338,35216,56756,132246,72357,528,188,2,0.154,30,0,0,2,27,2,0,38,166,216,230,128,85,47,67,0,0,0,0,0,713
62,14,14,3,176,595,600,264,163,13,38,35,37,67,14338,35216,56756,132246,72357,636,181,5,0.154,173,0,0,0,128,45,0,30,146,143,211,69,68,38,54,0,0,0,0,0,713
63,14,14,3,51,166,168,79,46,5,10,12,15,15,13942,33676,55338,118594,59194,262,84,1,0.157,0,0,0,0,0,0,0,2,28,37,70,31,20,12,12,0,0,0,0,0,712
64,14,14,3,68,230,232,102,63,5,15,14,15,26,14338,35216,56756,132246,72357,531,40,41,0.154,360,2,86,59,45,163,5,19,42,80,71,20,37,14,25,0,0,0,0,0,713
65,14,14,3,77,261,263,116,71,6,16,15,16,30,14338,35216,56756,132246,72357,338,85,21,0.154,37,3,29,0,3,2,0,13,49,65,101,35,36,13,26,0,0,0,0,0,713
66,14,14,3,34,110,114,52,31,3,7,7,10,9,13942,33676,55338,118594,59194,601,64,1,0.157,17,0,0,3,0,14,0,6,25,38,35,11,13,7,9,0,0,0,0,0,712
67,14,14,3,261,851,865,404,237,24,54,60,75,73,13942,33676,55338,118594,59194,4955,323,2,0.157,422,10,203,56,9,144,0,25,148,195,361,135,116,44,75,0,0,0,0,0,712
68,14,14,3,52,169,172,80,47,5,10,12,15,15,13942,33676,55338,118594,59194,335,28,0,0.157,76,0,76,0,0,0,0,13,31,43,56,30,18,7,11,0,0,0,0,0,712
69,14,14,3,27,88,90,41,24,3,5,6,8,7,13942,33676,55338,118594,59194,258,18,1,0.157,0,0,0,0,0,0,0,10,13,26,31,11,15,6,5,0,0,0,0,0,712
70,14,14,3,122,398,402,188,111,11,25,28,36,34,13942,33676,55338,118594,59194,440,172,1,0.157,1,0,0,0,1,0,0,20,80,113,127,63,48,22,22,0,0,0,0,0,712
71,14,14,3,142,463,474,220,129,13,29,33,41,39,13942,33676,55338,118594,59194,344,103,1,0.157,30,0,0,0,30,0,0,28,104,123,147,73,49,22,28,0,0,0,0,0,712
72,14,14,3,144,469,479,223,131,13,29,34,42,40,13942,33676,55338,118594,59194,699,105,1,0.157,16,0,0,0,0,16,0,25,91,156,135,72,59,26,34,0,0,0,0,0,712
73,14,14,3,73,239,245,113,67,6,15,16,21,20,13942,33676,55338,118594,59194,472,113,1,0.157,11,0,7,0,0,4,0,14,53,66,83,29,37,16,19,0,0,0,0,0,712
74,14,14,3,199,671,683,298,184,15,43,39,42,76,14338,35216,56756,132246,72357,3635,483,1,0.154,12,0,0,0,9,2,2,39,119,160,246,119,89,55,45,0,0,0,0,0,713
75,14,14,3,36,118,119,60,32,4,14,8,6,7,16195,33078,57126,111572,46193,1884,12,2,0.128,6,0,0,0,4,0,2,7,30,45,25,12,18,8,8,0,0,0,0,0,706
76,14,14,3,8,26,26,13,7,1,3,2,2,2,16195,33078,57126,111572,46193,2286,0,235,0.128,169,1,14,13,95,36,10,6,4,12,3,2,2,0,1,0,0,0,0,0,706
77,14,14,3,75,244,246,125,67,8,28,18,14,15,16195,33078,57126,111572,46193,1845,17,4,0.128,23,0,0,0,22,0,1,21,72,96,46,11,42,16,13,307,0,0,0,0,706
78,8,8,3,284,809,819,398,284,0,34,32,44,172,17400,33111,57216,153820,108392,109,108,1,0.234,86,62,6,0,17,0,0,51,186,154,265,163,94,32,16,0,0,0,0,0,385
79,8,8,3,462,1321,1334,648,462,0,56,53,71,281,17400,33111,57216,153820,108392,376,275,3,0.234,150,63,63,8,16,0,0,57,269,235,487,286,138,65,67,0,0,0,0,0,385
80,8,8,3,183,480,491,220,168,15,11,14,23,135,14454,36054,55855,167885,133803,8524,582,2,0.285,236,0,14,217,0,5,0,16,88,103,200,82,77,37,39,39,0,0,0,0,347
81,8,8,3,10,25,27,12,9,1,1,1,1,7,14454,36054,55855,167885,133803,1292,54,2,0.285,41,0,3,36,0,3,0,5,1,10,6,6,4,13,2,0,0,0,0,0,347
82,14,14,3,169,462,466,232,162,7,50,39,40,41,13011,34273,56826,128451,62064,120881,872,6,0.186,1058,0,0,18,23,996,21,12,72,104,190,88,50,16,44,0,0,0,0,0,714
83,10,10,3,912,2257,2287,1319,888,24,93,155,210,454,16343,33635,54106,132582,85882,28342,1055,17,0.130,570,8,28,243,176,98,17,95,368,599,931,295,296,104,102,796,0,0,0,0,512
84,10,10,3,705,1745,1768,1020,686,19,72,119,162,351,16343,33635,54106,132582,85882,4926,610,6,0.130,256,8,30,58,112,49,0,116,311,485,642,215,178,105,57,96,0,0,0,0,512
85,14,14,3,65,208,209,99,54,11,19,13,14,19,11643,33826,52741,129729,59029,4126,114,4,0.143,62,0,0,0,0,62,0,8,35,53,77,34,51,14,46,0,0,0,0,0,697
86,10,10,3,363,1074,1078,446,255,108,80,52,70,163,13858,32975,57378,131326,77729,111,46,60,0.176,518,313,51,15,6,132,2,89,201,401,230,157,235,44,44,0,0,0,0,0,485
87,10,10,3,400,1056,1056,471,205,195,45,70,132,154,16697,35357,54909,117400,71002,112,0,110,0.157,0,0,0,0,0,0,0,92,146,545,194,79,39,6,27,0,0,0,0,0,460
88,10,10,3,41,111,123,49,22,20,5,8,14,14,16697,35357,54909,117400,71002,90,12,46,0.157,0,0,0,0,0,0,0,9,15,59,24,17,74,15,59,0,0,0,0,0,460
89,10,10,3,505,1473,1509,739,316,189,95,90,133,187,11936,34369,54855,117643,66422,121,71,50,0.118,1077,5,180,128,0,663,102,71,410,495,408,126,196,88,123,582,2168,0,0,0,479
90,10,10,3,201,538,543,217,133,68,45,24,49,83,12968,35108,56591,128488,73906,51,48,2,0.196,0,0,0,0,0,0,0,25,140,147,161,69,73,22,18,0,0,0,0,0,484
91,10,10,3,260,766,772,319,184,76,56,36,50,116,13858,32975,57378,131326,77729,86,40,46,0.176,674,19,139,67,6,436,8,40,197,235,183,116,72,20,10,290,0,0,0,0,485
92,10,10,3,622,1840,1843,765,441,182,135,87,121,280,13858,32975,57378,131326,77729,71,41,4,0.176,32,1,0,0,6,25,0,166,386,748,334,209,174,24,21,0,0,0,0,0,485
93,10,10,3,393,1159,1162,482,279,114,84,55,76,175,13858,32975,57378,131326,77729,173,72,73,0.176,4220,83,830,206,6,3036,59,96,294,414,235,124,121,21,18,0,0,0,0,0,485
94,10,10,3,629,1860,1874,773,442,188,136,88,122,282,13858,32975,57378,131326,77729,209,109,99,0.176,1348,773,107,55,6,395,13,111,474,552,456,280,376,74,73,0,0,0,0,0,485
95,10,10,3,543,1436,1443,640,274,269,62,94,178,207,16697,35357,54909,117400,71002,143,48,74,0.157,2428,54,217,1677,5,393,81,184,200,720,216,123,166,30,65,0,0,0,0,0,460
96,10,10,3,562,1487,1497,662,285,277,65,98,185,215,16697,35357,54909,117400,71002,195,89,90,0.157,2328,147,246,0,5,1598,332,120,297,418,411,251,127,41,66,0,0,0,0,0,460
97,10,10,3,210,577,579,248,89,121,35,38,62,75,16697,35357,54909,117400,71002,127,7,118,0.157,2441,429,606,54,5,1126,221,41,89,249,101,97,40,14,23,0,0,0,0,0,460
98,10,10,3,636,1705,1719,723,289,347,142,116,177,200,12142,34617,54718,118531,61604,68,42,26,0.157,731,307,166,6,1,205,46,97,352,887,283,100,152,57,136,0,0,0,0,0,487
99,10,10,3,510,1367,1384,579,231,279,114,93,142,160,12142,34617,54718,118531,61604,149,99,7,0.157,271,3,73,139,1,51,4,64,309,458,364,188,156,72,76,0,2406,0,0,0,487
100,10,10,3,120,321,325,136,54,66,26,21,34,38,12142,34617,54718,118531,61604,62,46,1,0.157,1,0,0,0,1,0,0,19,81,84,98,43,41,13,9,0,0,0,0,0,487
101,10,10,3,209,561,565,237,95,114,47,39,58,66,12142,34617,54718,118531,61604,88,20,23,0.157,229,0,0,0,1,185,42,35,153,211,111,56,53,22,20,0,0,0,0,0,487
102,10,10,3,262,701,709,297,118,144,58,48,72,82,12142,34617,54718,118531,61604,101,68,4,0.157,77,3,42,0,1,28,3,32,171,193,201,111,74,43,40,0,0,0,0,0,487
103,8,8,3,555,1456,1495,668,511,44,34,44,71,406,14454,36054,55855,167885,133803,432,101,90,0.285,74,0,49,0,0,25,0,25,301,154,326,688,103,36,18,0,0,0,0,0,347
104,8,8,3,266,698,704,320,245,21,15,22,34,195,14454,36054,55855,167885,133803,8241,422,510,0.285,866,36,274,249,8,258,41,36,124,138,264,142,79,33,22,230,0,0,0,0,347
105,10,10,3,441,1320,1331,630,440,1,46,40,65,290,10244,33902,54423,138218,103203,155,104,2,0.167,9,0,0,0,0,6,3,46,343,302,522,117,195,92,54,0,0,0,0,0,489
106,10,10,3,249,725,731,364,156,93,46,45,65,93,11936,34369,54855,117643,66422,79,54,21,0.118,51,0,0,27,0,19,5,53,127,204,233,114,96,62,30,1003,0,0,0,0,479
107,10,10,3,1223,3566,3568,1790,773,449,227,220,320,456,11936,34369,54855,117643,66422,181,152,29,0.118,978,20,180,8,0,662,108,211,785,1478,863,230,520,209,246,0,0,0,0,0,479
108,10,10,3,822,2398,2399,1203,507,315,156,148,214,304,11936,34369,54855,117643,66422,162,161,1,0.118,57,0,7,0,0,43,7,154,534,698,768,246,339,144,142,0,0,0,0,0,479
109,10,10,3,406,1088,1113,436,259,147,91,50,100,167,12968,35108,56591,128488,73906,88,69,11,0.196,0,0,0,0,0,0,0,86,261,362,260,145,130,45,44,0,0,0,0,0,484
110,10,10,3,1408,3766,3793,1511,886,522,312,171,347,578,12968,35108,56591,128488,73906,155,88,66,0.196,4843,789,1998,636,2,1201,217,244,728,1356,867,599,451,114,89,0,0,0,0,0,484
111,10,10,3,252,673,674,270,167,85,55,30,62,104,12968,35108,56591,128488,73906,100,68,32,0.196,653,383,81,161,0,12,16,39,134,168,230,104,103,36,25,505,0,0,0,0,484
112,10,10,3,565,1512,1530,606,373,192,125,69,139,233,12968,35108,56591,128488,73906,157,124,32,0.196,705,571,58,2,3,67,5,94,368,417,422,230,189,62,59,609,0,0,0,0,484
113,10,10,3,486,1420,1425,664,400,87,78,43,95,268,10463,34515,55029,137152,94577,160,121,37,0.177,268,159,84,13,2,9,1,68,306,359,411,280,199,72,62,581,0,0,0,0,490
114,10,10,3,0,0,0,0,0,0,0,0,0,0,10463,34515,55029,137152,94577,124,20,61,0.177,474,0,0,472,2,0,0,0,0,0,0,0,0,0,0,0,0,23000,11000,12000,490
115,10,10,3,8,25,26,11,7,2,1,0,2,5,10463,34515,55029,137152,94577,50,2,48,0.177,882,31,395,2,2,419,33,0,2,1,15,8,5,3,4,0,0,0,0,0,490
116,10,10,3,286,848,859,391,254,31,42,23,54,167,10463,34515,55029,137152,94577,113,111,1,0.177,61,3,48,1,2,6,2,23,203,150,335,147,118,61,41,0,0,0,0,0,490
117,10,10,3,590,1753,1759,806,524,66,87,49,111,343,10463,34515,55029,137152,94577,204,139,64,0.177,1022,40,428,6,2,510,36,71,460,445,611,171,189,122,82,0,2393,0,0,0,490
118,10,10,3,975,2949,2971,1255,413,562,178,161,237,398,11825,33703,55725,126997,73219,206,176,1,0.115,57,0,0,23,7,27,0,176,752,901,837,307,403,221,266,709,0,0,0,0,486
119,10,10,3,969,2933,2935,1247,410,559,178,161,236,396,11825,33703,55725,126997,73219,256,131,106,0.115,1993,441,469,114,7,766,197,244,757,1152,582,201,484,140,161,22,0,0,0,0,486
120,10,10,3,414,1298,1307,497,329,85,75,93,90,156,14578,33379,52488,116838,65515,127,100,11,0.169,694,214,389,42,2,19,29,47,328,331,432,168,194,106,74,0,0,0,0,0,491
121,10,10,3,283,889,896,341,225,58,52,63,61,106,14578,33379,52488,116838,65515,51,46,1,0.169,42,2,8,30,0,2,0,38,250,231,281,96,133,64,29,0,0,0,0,0,491
122,10,10,3,321,1006,1016,385,256,65,60,72,69,121,14578,33379,52488,116838,65515,66,65,1,0.169,5,2,3,0,0,0,0,37,303,250,342,84,139,88,36,0,0,0,0,0,491
123,10,10,3,461,1450,1458,650,396,65,66,66,113,216,9476,35790,54938,126964,79486,99,85,1,0.153,11,0,7,1,1,0,1,57,397,388,462,156,209,119,81,0,0,0,0,0,492
124,10,10,3,426,1337,1347,600,365,60,61,62,105,199,9476,35790,54938,126964,79486,102,88,2,0.153,352,245,104,2,1,0,0,74,366,399,362,145,223,70,46,0,0,0,0,0,492
125,10,10,3,241,760,767,340,207,34,34,35,60,113,9476,35790,54938,126964,79486,61,60,1,0.153,2,0,0,0,1,0,1,21,183,156,292,116,113,50,39,0,0,0,0,0,492
126,10,10,3,643,2019,2038,906,553,90,91,91,158,301,9476,35790,54938,126964,79486,157,139,1,0.153,659,51,444,98,1,26,39,79,519,500,671,269,281,167,102,0,0,0,0,0,492
127,10,10,3,204,611,614,291,204,0,21,19,29,134,10244,33902,54423,138218,103203,69,47,23,0.167,669,26,537,0,0,6,100,13,166,124,213,99,97,41,25,0,0,0,0,0,489
128,10,10,3,242,726,729,346,242,0,25,22,35,160,10244,33902,54423,138218,103203,74,49,1,0.167,280,0,0,43,0,6,231,19,173,146,266,126,117,54,30,632,0,0,0,0,489
129,10,10,3,972,2910,2939,1387,970,2,101,88,143,640,10244,33902,54423,138218,103203,563,317,8,0.167,323,0,2,311,2,6,3,89,658,599,1032,561,453,206,127,2128,0,0,0,0,489
130,10,10,3,0,0,0,0,0,0,0,0,0,0,10244,33902,54423,138218,103203,445,1,14,0.167,17,0,3,3,0,6,5,0,0,0,0,0,0,0,0,0,2357,0,0,0,489
131,10,10,3,178,533,535,254,178,0,19,16,26,117,10244,33902,54423,138218,103203,638,267,12,0.167,12,0,0,2,2,6,3,18,95,103,214,106,103,49,26,0,0,0,0,0,489
132,10,10,3,976,2671,2693,1200,788,186,123,123,231,498,12259,34580,56071,130617,85890,204,176,16,0.214,543,84,263,171,11,6,6,94,578,623,754,645,329,92,96,658,0,0,0,0,488
133,10,10,3,338,926,932,416,272,66,43,43,80,172,12259,34580,56071,130617,85890,120,69,1,0.214,618,102,327,167,6,7,9,47,207,259,286,133,117,48,31,0,0,0,0,0,488
134,10,10,3,675,1848,1870,830,544,131,85,85,160,345,12259,34580,56071,130617,85890,246,177,1,0.214,66,0,54,12,0,0,0,85,442,418,610,314,212,108,64,3,0,0,0,0,488
135,10,10,3,748,2047,2093,920,603,145,94,95,177,382,12259,34580,56071,130617,85890,388,187,3,0.214,61,39,11,4,7,0,0,82,464,515,650,381,250,94,64,0,0,0,0,0,488
136,10,10,3,22,60,60,27,18,4,3,3,5,11,12259,34580,56071,130617,85890,685,96,1,0.214,134,0,0,134,0,0,0,1,14,15,18,12,8,3,2,0,0,0,0,0,488
137,14,14,3,9,30,31,15,8,1,4,2,2,2,16195,33078,57126,111572,46193,258,6,14,0.128,75,9,56,1,8,0,1,1,11,10,5,5,5,2,3,0,0,0,0,0,706
138,14,14,3,3,10,10,5,3,0,1,1,1,1,16195,33078,57126,111572,46193,18,0,3,0.128,6,0,0,5,0,0,1,0,4,3,3,0,0,0,0,0,0,0,0,0,706
139,14,14,3,0,0,0,0,0,0,0,0,0,0,16195,33078,57126,111572,46193,43,0,22,0.128,36,21,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,706
140,14,14,3,0,0,0,0,0,0,0,0,0,0,16195,33078,57126,111572,46193,81,1,20,0.128,67,49,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,706
